iter	Passed	Remaining
0	252	125972
1	448	111554
2	632	104851
3	819	101639
4	1008	99826
5	1192	98203
6	1377	97044
7	1559	95913
8	1749	95418
9	1941	95134
10	2128	94620
11	2322	94465
12	2513	94153
13	2700	93755
14	2891	93475
15	3079	93162
16	3268	92863
17	3468	92891
18	3658	92607
19	3842	92220
20	4025	91825
21	4214	91579
22	4406	91376
23	4622	91688
24	4814	91475
25	4996	91088
26	5193	90982
27	5398	90995
28	5583	90679
29	5774	90471
30	5967	90277
31	6146	89893
32	6335	89652
33	6514	89293
34	6697	88980
35	6886	88753
36	7077	88559
37	7258	88252
38	7439	87937
39	7628	87723
40	7811	87446
41	7993	87172
42	8179	86925
43	8358	86628
44	8537	86319
45	8723	86101
46	8905	85829
47	9084	85543
48	9266	85288
49	9450	85058
50	9631	84791
51	9814	84559
52	10004	84377
53	10192	84186
54	10382	84001
55	10565	83765
56	10752	83567
57	10939	83364
58	11121	83131
59	11300	82870
60	11481	82628
61	11665	82413
62	11848	82187
63	12035	81990
64	12223	81806
65	12403	81564
66	12585	81338
67	12773	81148
68	12956	80931
69	13138	80706
70	13318	80476
71	13498	80240
72	13677	80005
73	13857	79775
74	14038	79549
75	14218	79323
76	14400	79108
77	14583	78902
78	14765	78688
79	14947	78474
80	15127	78250
81	15330	78148
82	15513	77939
83	15695	77728
84	15894	77604
85	16085	77433
86	16268	77229
87	16460	77064
88	16677	77018
89	16906	77016
90	17171	77178
91	17376	77061
92	17573	76905
93	17778	76790
94	17979	76648
95	18177	76496
96	18472	76746
97	18674	76605
98	18871	76440
99	19070	76280
100	19278	76161
101	19486	76036
102	19689	75889
103	19894	75753
104	20107	75642
105	20307	75481
106	20509	75330
107	20749	75314
108	20942	75124
109	21139	74947
110	21335	74770
111	21538	74616
112	21738	74449
113	21930	74257
114	22121	74058
